amount_p,posx1_p,posx2_p,posx3_p,posx4_p,posx5_p,center_to_center_p,edge_to_edge_p,w_p,stim_lengt_p,eccentricity_p,line1_p,line2_p,line3_p,line4_p,line5_p,amount,posx1,posx2,posx3,posx4,posx5,center_to_center,edge_to_edge,w,stim_length,eccentricity,trial_type,deg_to_pix_index,posx1_in_pix,posx2_in_pix,posx3_in_pix,posx4_in_pix,posx5_in_pix,line1,line2,line3,line4,line5,posx,setsize_cobdi,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,first.thisRepN,first.thisTrialN,first.thisN,first.thisIndex,second.thisRepN,second.thisTrialN,second.thisN,second.thisIndex,thisRow.t,notes,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,key_resp.keys,key_resp.rt,response,starting_width_deg,response_width_degree,response_width_pixel,next_5.keys,next_5.rt,key_resp_4.keys,key_resp_4.rt,text_3.started,text_4.started,key_resp_2.started,text_2.started,key_resp_2.keys,key_resp_2.rt,adjusting.started,next.keys,next.rt,text_control2.started,key_resp.started,key_resp.corr,text_bye.started,text_bye.stopped,participant,age,gender,resp_group,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,815.1003026999533,c,129.11354289995506,,,,,,,,,,,,,,,,,,,,,,,,,p311,18,female,left_right_width,2025-11-30_09h03.58.747,exp1,2023.1.0,59.97724461373291,
3,9.5,10,10.5,0,0,0.5,0.4,0.1,1.1,10,9,9,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,3,4.043646000092849,3,0.2,0.10000000000000002,3.60429,return,5.993168800021522,,,,,,,,,,,,,,,,,p311,18,female,left_right_width,2025-11-30_09h03.58.747,exp1,2023.1.0,59.97724461373291,
5,9,9.5,10,10.5,11,0.5,0.09999999999999998,0.4,2.4,10,9,9,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,8,,,,,,,,,,,,,,,,,,,,,,4,2.838933299994096,4,0.2,0.44999999999999996,16.21932,return,3.58787809999194,,,,,,,,,,,,,,,,,p311,18,female,left_right_width,2025-11-30_09h03.58.747,exp1,2023.1.0,59.97724461373291,
5,9.25,9.625,10,10.375,10.75,0.375,0.125,0.25,1.75,10,9,9,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,6,,,,,,,,,,,,,,,,,,,,,,5,2.8235496999695897,5,0.4,0.35000000000000003,12.61502,return,4.436308900010772,,,,,,,,,,,,,,,,,p311,18,female,left_right_width,2025-11-30_09h03.58.747,exp1,2023.1.0,59.97724461373291,
4,8.65,9.55,10.45,11.35,0,0.9,0.5,0.4,3.1,10,9,9,9,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,5,,,,,,,,,,,,,,,,,,,,,,5,2.8049783000024036,5,0.3,0.3,10.81288,return,2.2271982999518514,,,,,,,,,,,,,,,,,p311,18,female,left_right_width,2025-11-30_09h03.58.747,exp1,2023.1.0,59.97724461373291,
4,9.5,9.833333333333334,10.166666666666666,10.5,0,0.33333333333333337,0.23333333333333336,0.1,1.1,10,9,9,9,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,3,,,,,,,,,,,,,,,,,,,,,,4,1.995103600085713,4,0.45,0.15000000000000008,5.40644,return,3.290272800019011,,,,,,,,,,,,,,,,,p311,18,female,left_right_width,2025-11-30_09h03.58.747,exp1,2023.1.0,59.97724461373291,
3,9,10,11,0,0,1,0.9,0.1,2.1,10,9,9,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,1,,,,,,,,,,,,,,,,,,,,,,3,1.8370746000437066,3,0.3,0.10000000000000002,3.60429,return,3.954910699976608,,,,,,,,,,,,,,,,,p311,18,female,left_right_width,2025-11-30_09h03.58.747,exp1,2023.1.0,59.97724461373291,
3,8.2,10,11.8,0,0,1.7999999999999998,1.4,0.4,4,10,9,9,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,2,,,,,,,,,,,,,,,,,,,,,,3,2.0136051999870688,3,0.35,0.3,10.81288,return,2.524595000082627,,,,,,,,,,,,,,,,,p311,18,female,left_right_width,2025-11-30_09h03.58.747,exp1,2023.1.0,59.97724461373291,
5,8.6,9.3,10,10.7,11.4,0.7,0.29999999999999993,0.4,3.1999999999999997,10,9,9,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,6,2.282241699984297,6,0.25,0.3,10.81288,return,2.494563600048423,,,,,,,,,,,,,,,,,p311,18,female,left_right_width,2025-11-30_09h03.58.747,exp1,2023.1.0,59.97724461373291,
4,9.25,9.75,10.25,10.75,0,0.5,0.25,0.25,1.75,10,9,9,9,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,8,8,4,,,,,,,,,,,,,,,,,,,,,,4,2.567771599977277,4,0.2,0.25,9.01073,return,3.344004499958828,,,,,,,,,,,,,,,,,p311,18,female,left_right_width,2025-11-30_09h03.58.747,exp1,2023.1.0,59.97724461373291,
